Language,DevType,Count,Rank
Solidity,Security professional,26,16
Solidity,"Developer, QA or test",25,17
Solidity,Project manager,25,18
Solidity,Other (please specify):,22,19
Solidity,Product manager,18,20
Solidity,Data or business analyst,18,21
Solidity,Designer,16,22
Solidity,"Developer, game or graphics",14,23
Solidity,"Developer, embedded applications or devices",13,24
Solidity,Educator,13,25
Solidity,Academic researcher,11,26
Solidity,Student,10,27
Solidity,Scientist,8,28
Solidity,Research & Development role,7,29
Solidity,Marketing or sales professional,4,30
Solidity,Developer Experience,3,31
Solidity,Developer Advocate,1,32
Swift,"Developer, mobile",2830,1
Swift,"Developer, full-stack",2502,2
Swift,"Developer, back-end",1745,3
Swift,"Developer, front-end",1385,4
Swift,"Developer, desktop or enterprise applications",774,5
Swift,"Developer, embedded applications or devices",445,6
Swift,Engineering manager,440,7
Swift,DevOps specialist,433,8
Swift,Database administrator,388,9
Swift,System administrator,355,10
Swift,Designer,340,11
Swift,Product manager,290,12
Swift,"Developer, QA or test",273,13
Swift,"Developer, game or graphics",245,14
Swift,Data scientist or machine learning specialist,207,15
Swift,Educator,202,16
Swift,"Engineer, data",188,17
Swift,"Senior Executive (C-Suite, VP, etc.)",174,18
Swift,Data or business analyst,167,19
Swift,"Engineer, site reliability",132,20
Swift,Cloud infrastructure engineer,128,21
Swift,Academic researcher,123,22
Swift,Other (please specify):,117,23
Swift,Student,116,24
Swift,Project manager,115,25
Swift,Scientist,78,26
Swift,Senior executive/VP,68,27
Swift,Security professional,58,28
Swift,Marketing or sales professional,42,29
Swift,Blockchain,39,30
Swift,Research & Development role,14,31
Swift,Developer Advocate,8,32
Swift,Developer Experience,8,33
Swift,Hardware Engineer,4,34
TypeScript,"Developer, full-stack",27743,1
TypeScript,"Developer, back-end",16191,2
TypeScript,"Developer, front-end",12569,3
TypeScript,"Developer, desktop or enterprise applications",5064,4
TypeScript,"Developer, mobile",4694,5
TypeScript,DevOps specialist,4309,6
TypeScript,Engineering manager,2584,7
TypeScript,Database administrator,2437,8
TypeScript,System administrator,2165,9
TypeScript,Designer,1846,10
TypeScript,"Developer, QA or test",1819,11
TypeScript,"Developer, embedded applications or devices",1470,12
TypeScript,Cloud infrastructure engineer,1462,13
TypeScript,"Engineer, data",1454,14
TypeScript,Product manager,1334,15
TypeScript,"Engineer, site reliability",1196,16
TypeScript,Data or business analyst,1091,17
TypeScript,"Senior Executive (C-Suite, VP, etc.)",997,18
TypeScript,Educator,988,19
TypeScript,Data scientist or machine learning specialist,982,20
TypeScript,"Developer, game or graphics",923,21
TypeScript,Other (please specify):,808,22
TypeScript,Project manager,666,23
TypeScript,Academic researcher,602,24
TypeScript,Student,584,25
TypeScript,Security professional,349,26
TypeScript,Scientist,343,27
TypeScript,Blockchain,330,28
TypeScript,Senior executive/VP,212,29
TypeScript,Marketing or sales professional,155,30
TypeScript,Research & Development role,113,31
TypeScript,Developer Experience,56,32
TypeScript,Developer Advocate,29,33
TypeScript,Hardware Engineer,7,34
VBA,"Developer, full-stack",2348,1
VBA,"Developer, back-end",1838,2
VBA,"Developer, desktop or enterprise applications",1345,3
VBA,"Developer, front-end",1199,4
VBA,Database administrator,776,5
VBA,Data or business analyst,769,6
VBA,System administrator,572,7
VBA,"Developer, mobile",546,8
VBA,"Engineer, data",473,9
VBA,DevOps specialist,464,10
VBA,Designer,430,11
VBA,Data scientist or machine learning specialist,402,12
VBA,"Developer, embedded applications or devices",400,13
VBA,"Developer, QA or test",349,14
VBA,Product manager,298,15
VBA,Engineering manager,243,16
VBA,Educator,179,17
VBA,Academic researcher,178,18
VBA,Other (please specify):,156,19
VBA,"Developer, game or graphics",149,20
VBA,Scientist,140,21
VBA,Project manager,124,22
VBA,"Engineer, site reliability",124,23
VBA,"Senior Executive (C-Suite, VP, etc.)",113,24
VBA,Cloud infrastructure engineer,95,25
VBA,Student,93,26
VBA,Security professional,53,27
VBA,Senior executive/VP,50,28
VBA,Marketing or sales professional,45,29
VBA,Blockchain,17,30
VBA,Research & Development role,12,31
VBA,Developer Experience,4,32
VBA,Hardware Engineer,1,33
Visual Basic (.Net),"Developer, full-stack",501,1
Visual Basic (.Net),"Developer, back-end",146,2
Visual Basic (.Net),"Developer, desktop or enterprise applications",102,3
Visual Basic (.Net),Other (please specify):,37,4
Visual Basic (.Net),Engineering manager,31,5
Visual Basic (.Net),"Senior Executive (C-Suite, VP, etc.)",29,6
Visual Basic (.Net),DevOps specialist,24,7
Visual Basic (.Net),"Developer, front-end",23,8
Visual Basic (.Net),"Developer, embedded applications or devices",17,9
Visual Basic (.Net),"Engineer, data",14,10
Visual Basic (.Net),System administrator,13,11
Visual Basic (.Net),Project manager,13,12
Visual Basic (.Net),Data scientist or machine learning specialist,12,13
Visual Basic (.Net),Data or business analyst,11,14
Visual Basic (.Net),"Developer, mobile",11,15
Visual Basic (.Net),Cloud infrastructure engineer,10,16
Visual Basic (.Net),Security professional,9,17
Visual Basic (.Net),Research & Development role,8,18
Visual Basic (.Net),Database administrator,6,19
Visual Basic (.Net),Product manager,5,20
Visual Basic (.Net),Academic researcher,5,21
Visual Basic (.Net),"Developer, QA or test",3,22
Visual Basic (.Net),Designer,3,23
Visual Basic (.Net),Educator,3,24
Visual Basic (.Net),"Engineer, site reliability",2,25
Visual Basic (.Net),Scientist,2,26
Visual Basic (.Net),Developer Experience,2,27
Visual Basic (.Net),Developer Advocate,2,28
Visual Basic (.Net),"Developer, game or graphics",2,29
Visual Basic (.Net),Hardware Engineer,1,30
Visual Basic (.Net),Student,1,31
WebAssembly,"Developer, full-stack",33,1
WebAssembly,"Developer, back-end",29,2
WebAssembly,"Developer, front-end",25,3
WebAssembly,"Developer, desktop or enterprise applications",20,4
WebAssembly,DevOps specialist,17,5
WebAssembly,Database administrator,14,6
WebAssembly,"Developer, embedded applications or devices",12,7
WebAssembly,"Developer, mobile",12,8
WebAssembly,"Developer, game or graphics",12,9
WebAssembly,System administrator,11,10
WebAssembly,Student,8,11
WebAssembly,Academic researcher,7,12
WebAssembly,Educator,7,13
WebAssembly,"Developer, QA or test",7,14
WebAssembly,Senior executive/VP,7,15
WebAssembly,Data or business analyst,6,16
WebAssembly,Data scientist or machine learning specialist,6,17
WebAssembly,Designer,5,18
WebAssembly,Product manager,5,19
WebAssembly,Engineering manager,5,20
WebAssembly,Scientist,5,21
WebAssembly,"Engineer, site reliability",4,22
WebAssembly,"Engineer, data",4,23
WebAssembly,Marketing or sales professional,2,24
Zig,"Developer, full-stack",49,1
Zig,"Developer, back-end",31,2
Zig,Research & Development role,7,3
Zig,"Developer, game or graphics",6,4
Zig,DevOps specialist,5,5
Zig,Cloud infrastructure engineer,5,6
Zig,Developer Experience,5,7
Zig,"Senior Executive (C-Suite, VP, etc.)",4,8
Zig,"Developer, front-end",4,9
Zig,"Developer, embedded applications or devices",4,10
Zig,Other (please specify):,3,11
Zig,"Developer, mobile",2,12
Zig,"Developer, desktop or enterprise applications",2,13
Zig,Data scientist or machine learning specialist,2,14
Zig,Product manager,2,15
Zig,"Engineer, site reliability",2,16
Zig,"Engineer, data",2,17
Zig,Engineering manager,2,18
Zig,System administrator,1,19
Zig,Hardware Engineer,1,20
Zig,Student,1,21
