YearsGroup,DevType,Database,Count,Rank
senior,"Developer, game or graphics",SQLite,857,2
senior,"Developer, game or graphics",PostgreSQL,806,3
senior,"Developer, game or graphics",MongoDB,618,4
senior,"Developer, game or graphics",Microsoft SQL Server,596,5
senior,"Developer, game or graphics",Redis,517,6
senior,"Developer, game or graphics",MariaDB,425,7
senior,"Developer, game or graphics",Firebase,313,8
senior,"Developer, game or graphics",Elasticsearch,304,9
senior,"Developer, game or graphics",Oracle,238,10
senior,"Developer, game or graphics",DynamoDB,210,11
senior,"Developer, game or graphics",Cassandra,57,12
senior,"Developer, game or graphics",Couchbase,46,13
senior,"Developer, game or graphics",Firebase Realtime Database,44,14
senior,"Developer, game or graphics",Cloud Firestore,44,15
senior,"Developer, game or graphics",IBM DB2,39,16
senior,"Developer, game or graphics",CouchDB,11,17
senior,"Developer, game or graphics",Neo4j,11,18
senior,"Developer, game or graphics",Other(s):,9,19
senior,"Developer, game or graphics",Dynamodb,8,20
senior,"Developer, game or graphics",BigQuery,6,21
senior,"Developer, game or graphics",Cosmos DB,6,22
senior,"Developer, game or graphics",InfluxDB,5,23
senior,"Developer, game or graphics",Microsoft Access,3,24
senior,"Developer, game or graphics",Clickhouse,3,25
senior,"Developer, game or graphics",Supabase,2,26
senior,"Developer, game or graphics",Neo4J,2,27
senior,"Developer, game or graphics",H2,1,28
senior,"Developer, game or graphics",Cockroachdb,1,29
senior,"Developer, mobile",SQLite,4742,1
senior,"Developer, mobile",MySQL,4655,2
senior,"Developer, mobile",PostgreSQL,3444,3
senior,"Developer, mobile",Microsoft SQL Server,2892,4
senior,"Developer, mobile",MongoDB,2682,5
senior,"Developer, mobile",Firebase,2160,6
senior,"Developer, mobile",Redis,1935,7
senior,"Developer, mobile",MariaDB,1737,8
senior,"Developer, mobile",Elasticsearch,1252,9
senior,"Developer, mobile",Oracle,1068,10
senior,"Developer, mobile",DynamoDB,775,11
senior,"Developer, mobile",Firebase Realtime Database,565,12
senior,"Developer, mobile",Cloud Firestore,511,13
senior,"Developer, mobile",Couchbase,241,14
senior,"Developer, mobile",Cassandra,241,15
senior,"Developer, mobile",IBM DB2,198,16
senior,"Developer, mobile",CouchDB,54,17
senior,"Developer, mobile",Other(s):,36,18
senior,"Developer, mobile",Neo4j,35,19
senior,"Developer, mobile",BigQuery,28,20
senior,"Developer, mobile",Dynamodb,25,21
senior,"Developer, mobile",Supabase,8,22
senior,"Developer, mobile",Couch DB,8,23
senior,"Developer, mobile",Cosmos DB,7,24
senior,"Developer, mobile",Snowflake,7,25
senior,"Developer, mobile",Microsoft Access,7,26
senior,"Developer, mobile",H2,5,27
senior,"Developer, mobile",Firebird,4,28
senior,"Developer, mobile",InfluxDB,4,29
senior,"Developer, mobile",Solr,2,30
senior,"Developer, mobile",TiDB,1,31
senior,"Developer, mobile",Clickhouse,1,32
senior,"Developer, mobile",DuckDB,1,33
senior,"Developer, mobile",Cockroachdb,1,34
senior,Educator,MySQL,1318,1
senior,Educator,PostgreSQL,1138,2
senior,Educator,SQLite,998,3
senior,Educator,Microsoft SQL Server,779,4
senior,Educator,MongoDB,775,5
senior,Educator,Redis,654,6
senior,Educator,MariaDB,612,7
senior,Educator,Elasticsearch,429,8
senior,Educator,Oracle,399,9
senior,Educator,Firebase,322,10
senior,Educator,DynamoDB,254,11
senior,Educator,Cassandra,103,12
senior,Educator,IBM DB2,80,13
senior,Educator,Couchbase,62,14
senior,Educator,Cloud Firestore,56,15
